Region,MedialTemporal,RightParietalTemporal,LeftParietalTemporal,Precuneus,Occipital,LateralFrontal,Sensorimotor,Orbitofrontal
lh_supramarginal,3.71522333353774e-17,4.40004184954833e-17,0.0818221258311796,0.0438017787220028,2.10852135131046e-12,0.00648255398553432,3.29347033316735e-10,2.79416022805089e-17
lh_temporalpole,0.123177735186087,4.40004184954833e-17,3.93628531588574e-17,3.4810435974743e-17,3.67508471034948e-17,3.04772009766612e-17,2.13715109098205e-15,0.00642228837823548
lh_transversetemporal,6.16417844190687e-16,4.40004184954833e-17,0.0095572040949532,3.4810435974743e-17,3.67508471034948e-17,3.28314901106585e-11,0.0647948840923531,0.0185622380772233
rh_bankssts,3.71522333353774e-17,0.203110007243754,5.44715619571282e-06,6.55958393067581e-12,3.67508471034948e-17,3.04772009766612e-17,3.16924148242712e-17,2.79416022805089e-17
rh_caudalanteriorcingulate,3.71522333353774e-17,4.40004184954833e-17,3.93628531588574e-17,3.4810435974743e-17,3.67508471034948e-17,3.04772009766612e-17,0.0121741923320216,0.0646618121862181
rh_caudalmiddlefrontal,3.71522333353774e-17,0.0276213993064944,3.93628531588574e-17,0.0522839355946498,3.67508471034948e-17,0.0363680605123987,3.16924148242712e-17,2.79416022805089e-17
rh_cuneus,3.71522333353774e-17,4.40004184954833e-17,3.93628531588574e-17,3.4810435974743e-17,0.134147861580219,3.04772009766612e-17,3.16924148242712e-17,2.79416022805089e-17
rh_entorhinal,0.143740892166038,4.40004184954833e-17,3.93628531588574e-17,3.4810435974743e-17,3.67508471034948e-17,3.04772009766612e-17,3.16924148242712e-17,2.79416022805089e-17
rh_frontalpole,3.71522333353774e-17,4.40004184954833e-17,3.93628531588574e-17,3.4810435974743e-17,3.67508471034948e-17,0.0570272234763634,3.16924148242712e-17,0.0239881633602883
rh_fusiform,0.0542580718381588,0.0958004003056357,3.93628531588574e-17,3.4810435974743e-17,0.0244626212591126,3.04772009766612e-17,3.16924148242712e-17,2.79416022805089e-17
